time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451700000	7.92912	20.4523	-4.80963	-62.464	0.498377	lidar	0.107667	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71721	20.365	-4.80848	-62.4314	0.517896	radar	3.50448	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.41602	20.3077	-4.90735	-62.4318	0.48622	lidar	3.78226	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.18894	20.21	-4.90604	-62.4102	0.479673	radar	0.212322	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.92614	20.1294	-4.95299	-62.4009	0.462293	lidar	0.941292	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.70459	20.0368	-4.94043	-62.3854	0.449408	radar	0.486328	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.45574	19.9482	-4.96966	-62.3751	0.435313	lidar	0.527588	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.24191	19.8537	-4.95495	-62.3579	0.431594	radar	2.85179	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.97821	19.7633	-5.00355	-62.3534	0.411732	lidar	1.11664	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.75499	19.616	-5.0373	-62.3127	0.44854	radar	2.11	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.57152	19.4961	-4.99168	-62.2865	0.453737	lidar	1.11778	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.37287	19.346	-4.98836	-62.2522	0.470512	radar	1.68951	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
